Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
6K28_prepared,TZE,rigid/vina,1,-4.179,0.000,0.000
6K28_prepared,TZE,rigid/vina,2,-4.112,7.455,8.180
6K28_prepared,TZE,rigid/vina,3,-4.035,3.105,3.737
6K28_prepared,TZE,rigid/vina,4,-4.016,7.235,8.172
6K28_prepared,TZE,rigid/vina,5,-4.000,1.380,2.294
6K28_prepared,TZE,rigid/vina,6,-3.996,7.160,7.939
6K28_prepared,TZE,rigid/vina,7,-3.939,8.746,9.393
6K28_prepared,TZE,rigid/vina,8,-3.915,7.837,8.275
6K28_prepared,TZE,rigid/vina,9,-3.799,6.786,7.420
