Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
vina,1,-10.226,0.000,0.000
vina,2,-9.738,1.500,2.408
vina,3,-9.146,5.343,7.225
vina,4,-9.095,4.080,9.711
vina,5,-9.054,2.586,3.653
vina,6,-8.992,4.220,9.855
vina,7,-8.808,6.907,8.518
vina,8,-8.647,6.593,9.867
vina,9,-8.443,5.106,7.049
