Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
rigid/vina,1,-10.262,0.000,0.000
rigid/vina,2,-9.274,1.622,2.671
rigid/vina,3,-9.145,5.212,7.045
rigid/vina,4,-9.122,1.503,1.995
rigid/vina,5,-9.120,4.144,9.776
rigid/vina,6,-8.844,4.478,9.820
rigid/vina,7,-8.825,5.673,7.654
rigid/vina,8,-8.815,6.637,8.554
rigid/vina,9,-8.698,4.217,5.998
