Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
6K28_prepared,TZE,rigid/vina,1,-4.102,0.000,0.000
6K28_prepared,TZE,rigid/vina,2,-4.095,7.072,7.935
6K28_prepared,TZE,rigid/vina,3,-4.046,2.608,3.353
6K28_prepared,TZE,rigid/vina,4,-3.977,7.145,8.197
6K28_prepared,TZE,rigid/vina,5,-3.973,2.947,3.785
6K28_prepared,TZE,rigid/vina,6,-3.971,2.620,3.489
6K28_prepared,TZE,rigid/vina,7,-3.964,2.375,3.063
6K28_prepared,TZE,rigid/vina,8,-3.951,7.379,7.975
6K28_prepared,TZE,rigid/vina,9,-3.848,2.451,3.424
