Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
6K28_prepared,TZE,rigid/vina,1,-4.190,0.000,0.000
6K28_prepared,TZE,rigid/vina,2,-4.099,7.451,8.182
6K28_prepared,TZE,rigid/vina,3,-4.067,7.229,8.181
6K28_prepared,TZE,rigid/vina,4,-4.064,7.624,8.195
6K28_prepared,TZE,rigid/vina,5,-4.006,7.870,8.790
6K28_prepared,TZE,rigid/vina,6,-3.977,6.940,7.942
6K28_prepared,TZE,rigid/vina,7,-3.928,1.358,2.282
6K28_prepared,TZE,rigid/vina,8,-3.794,6.814,7.790
6K28_prepared,TZE,rigid/vina,9,-3.735,2.040,2.279
