Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
6K28_prepared,TZE,rigid/vina,1,-4.197,0.000,0.000
6K28_prepared,TZE,rigid/vina,2,-4.109,7.477,8.193
6K28_prepared,TZE,rigid/vina,3,-4.089,7.657,8.190
6K28_prepared,TZE,rigid/vina,4,-4.074,7.406,8.360
6K28_prepared,TZE,rigid/vina,5,-4.031,7.125,7.887
6K28_prepared,TZE,rigid/vina,6,-3.988,1.554,2.477
6K28_prepared,TZE,rigid/vina,7,-3.731,2.269,2.586
6K28_prepared,TZE,rigid/vina,8,-3.696,6.446,7.153
6K28_prepared,TZE,rigid/vina,9,-3.694,6.549,7.468
