Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
6K28_prepared,TZE,rigid/vina,1,-4.176,0.000,0.000
6K28_prepared,TZE,rigid/vina,2,-4.140,7.189,8.059
6K28_prepared,TZE,rigid/vina,3,-4.109,7.475,8.199
6K28_prepared,TZE,rigid/vina,4,-4.025,7.754,8.178
6K28_prepared,TZE,rigid/vina,5,-3.975,7.604,8.307
6K28_prepared,TZE,rigid/vina,6,-3.863,7.742,8.631
6K28_prepared,TZE,rigid/vina,7,-3.854,5.720,6.610
6K28_prepared,TZE,rigid/vina,8,-3.741,4.918,5.792
6K28_prepared,TZE,rigid/vina,9,-3.672,6.893,7.662
