Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
6K28_prepared,TZE,rigid/vina,1,-4.178,0.000,0.000
6K28_prepared,TZE,rigid/vina,2,-4.110,7.404,8.126
6K28_prepared,TZE,rigid/vina,3,-4.088,7.573,8.201
6K28_prepared,TZE,rigid/vina,4,-4.026,1.567,2.510
6K28_prepared,TZE,rigid/vina,5,-3.942,6.985,7.984
6K28_prepared,TZE,rigid/vina,6,-3.940,7.152,7.775
6K28_prepared,TZE,rigid/vina,7,-3.714,7.386,8.082
6K28_prepared,TZE,rigid/vina,8,-3.697,7.730,8.466
6K28_prepared,TZE,rigid/vina,9,-3.644,16.647,16.833
