Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
6K28_prepared,TZE,rigid/vina,1,-4.189,0.000,0.000
6K28_prepared,TZE,rigid/vina,2,-4.107,7.442,8.174
6K28_prepared,TZE,rigid/vina,3,-4.046,7.584,8.213
6K28_prepared,TZE,rigid/vina,4,-4.041,1.592,2.550
6K28_prepared,TZE,rigid/vina,5,-4.024,7.194,7.968
6K28_prepared,TZE,rigid/vina,6,-4.019,6.541,7.537
6K28_prepared,TZE,rigid/vina,7,-4.001,7.267,8.227
6K28_prepared,TZE,rigid/vina,8,-3.926,7.104,7.730
6K28_prepared,TZE,rigid/vina,9,-3.807,15.938,16.523
