Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
erbb1_model_03_prepared,FMM,rigid/vina,1,-10.272,0.000,0.000
erbb1_model_03_prepared,FMM,rigid/vina,2,-9.371,1.535,2.144
erbb1_model_03_prepared,FMM,rigid/vina,3,-9.129,5.212,7.029
erbb1_model_03_prepared,FMM,rigid/vina,4,-8.908,4.253,9.933
erbb1_model_03_prepared,FMM,rigid/vina,5,-8.860,6.863,8.453
erbb1_model_03_prepared,FMM,rigid/vina,6,-8.809,6.623,8.536
erbb1_model_03_prepared,FMM,rigid/vina,7,-8.709,6.481,8.439
erbb1_model_03_prepared,FMM,rigid/vina,8,-8.628,4.933,9.377
erbb1_model_03_prepared,FMM,rigid/vina,9,-8.575,4.131,9.838
