Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
6K28_prepared,TZE,rigid/vina,1,-4.189,0.000,0.000
6K28_prepared,TZE,rigid/vina,2,-4.129,7.100,7.981
6K28_prepared,TZE,rigid/vina,3,-4.127,1.702,2.641
6K28_prepared,TZE,rigid/vina,4,-4.108,7.438,8.164
6K28_prepared,TZE,rigid/vina,5,-4.067,7.839,8.273
6K28_prepared,TZE,rigid/vina,6,-4.066,6.595,7.583
6K28_prepared,TZE,rigid/vina,7,-4.020,7.166,7.924
6K28_prepared,TZE,rigid/vina,8,-4.016,3.193,4.053
6K28_prepared,TZE,rigid/vina,9,-3.982,7.855,8.787
