Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
6K28_prepared,TZE,rigid/vina,1,-4.195,0.000,0.000
6K28_prepared,TZE,rigid/vina,2,-4.111,7.097,7.964
6K28_prepared,TZE,rigid/vina,3,-4.108,7.417,8.146
6K28_prepared,TZE,rigid/vina,4,-4.084,7.804,8.246
6K28_prepared,TZE,rigid/vina,5,-4.068,1.952,2.835
6K28_prepared,TZE,rigid/vina,6,-4.065,2.770,3.425
6K28_prepared,TZE,rigid/vina,7,-3.939,7.185,7.879
6K28_prepared,TZE,rigid/vina,8,-3.846,15.371,16.259
6K28_prepared,TZE,rigid/vina,9,-3.843,2.041,2.296
