Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
6K28_prepared,TZE,rigid/vina,1,-4.173,0.000,0.000
6K28_prepared,TZE,rigid/vina,2,-4.116,7.190,8.050
6K28_prepared,TZE,rigid/vina,3,-4.106,7.484,8.215
6K28_prepared,TZE,rigid/vina,4,-4.102,1.664,2.600
6K28_prepared,TZE,rigid/vina,5,-4.086,7.797,8.264
6K28_prepared,TZE,rigid/vina,6,-4.042,7.182,7.946
6K28_prepared,TZE,rigid/vina,7,-3.941,3.428,4.663
6K28_prepared,TZE,rigid/vina,8,-3.905,7.074,7.699
6K28_prepared,TZE,rigid/vina,9,-3.723,2.005,2.239
