Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
rigid/vina,1,-10.282,0.000,0.000
rigid/vina,2,-9.728,1.201,1.993
rigid/vina,3,-9.136,5.212,7.068
rigid/vina,4,-9.133,1.662,2.201
rigid/vina,5,-8.814,6.783,8.473
rigid/vina,6,-8.768,5.697,7.714
rigid/vina,7,-8.516,4.706,6.507
rigid/vina,8,-8.498,4.531,9.239
rigid/vina,9,-8.449,6.122,8.285
