Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
6K28_prepared,TZE,rigid/vina,1,-4.179,0.000,0.000
6K28_prepared,TZE,rigid/vina,2,-4.112,7.476,8.189
6K28_prepared,TZE,rigid/vina,3,-4.060,7.152,8.118
6K28_prepared,TZE,rigid/vina,4,-4.057,7.520,8.170
6K28_prepared,TZE,rigid/vina,5,-4.005,7.774,8.506
6K28_prepared,TZE,rigid/vina,6,-3.991,7.141,7.891
6K28_prepared,TZE,rigid/vina,7,-3.983,7.554,8.241
6K28_prepared,TZE,rigid/vina,8,-3.862,15.394,16.274
6K28_prepared,TZE,rigid/vina,9,-3.767,6.586,7.207
