Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
6K28_prepared,TZE,rigid/vina,1,-4.195,0.000,0.000
6K28_prepared,TZE,rigid/vina,2,-4.169,7.068,7.943
6K28_prepared,TZE,rigid/vina,3,-4.129,1.690,2.630
6K28_prepared,TZE,rigid/vina,4,-4.075,7.504,8.232
6K28_prepared,TZE,rigid/vina,5,-4.064,7.073,8.000
6K28_prepared,TZE,rigid/vina,6,-4.021,7.849,8.791
6K28_prepared,TZE,rigid/vina,7,-3.997,7.197,7.994
6K28_prepared,TZE,rigid/vina,8,-3.894,3.595,4.450
6K28_prepared,TZE,rigid/vina,9,-3.680,6.513,7.220
