Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
6K28_prepared,TZE,rigid/vina,1,-4.178,0.000,0.000
6K28_prepared,TZE,rigid/vina,2,-4.105,7.486,8.202
6K28_prepared,TZE,rigid/vina,3,-4.092,7.194,8.167
6K28_prepared,TZE,rigid/vina,4,-4.058,7.823,8.226
6K28_prepared,TZE,rigid/vina,5,-4.038,7.331,8.138
6K28_prepared,TZE,rigid/vina,6,-4.008,7.033,7.979
6K28_prepared,TZE,rigid/vina,7,-3.997,7.503,8.183
6K28_prepared,TZE,rigid/vina,8,-3.960,7.869,8.811
6K28_prepared,TZE,rigid/vina,9,-3.772,6.884,7.646
