Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
erbb1_model_03_prepared,FMM,rigid/vina,1,-10.228,0.000,0.000
erbb1_model_03_prepared,FMM,rigid/vina,2,-9.568,1.235,2.009
erbb1_model_03_prepared,FMM,rigid/vina,3,-9.248,1.868,2.627
erbb1_model_03_prepared,FMM,rigid/vina,4,-9.124,5.263,7.125
erbb1_model_03_prepared,FMM,rigid/vina,5,-8.830,6.772,8.485
erbb1_model_03_prepared,FMM,rigid/vina,6,-8.729,6.601,8.541
erbb1_model_03_prepared,FMM,rigid/vina,7,-8.678,6.277,8.351
erbb1_model_03_prepared,FMM,rigid/vina,8,-8.595,6.447,9.684
erbb1_model_03_prepared,FMM,rigid/vina,9,-8.553,4.994,6.902
