Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
6K28_prepared,TZE,rigid/vina,1,-4.192,0.000,0.000
6K28_prepared,TZE,rigid/vina,2,-4.160,7.084,7.958
6K28_prepared,TZE,rigid/vina,3,-4.104,7.464,8.208
6K28_prepared,TZE,rigid/vina,4,-4.102,1.617,2.553
6K28_prepared,TZE,rigid/vina,5,-4.036,7.849,8.174
6K28_prepared,TZE,rigid/vina,6,-4.029,7.119,7.900
6K28_prepared,TZE,rigid/vina,7,-3.930,7.081,7.717
6K28_prepared,TZE,rigid/vina,8,-3.883,8.697,9.353
6K28_prepared,TZE,rigid/vina,9,-3.841,7.818,8.698
