Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
6K28_prepared,TZE,rigid/vina,1,-4.180,0.000,0.000
6K28_prepared,TZE,rigid/vina,2,-4.102,7.500,8.263
6K28_prepared,TZE,rigid/vina,3,-4.085,7.622,8.231
6K28_prepared,TZE,rigid/vina,4,-4.075,7.137,8.139
6K28_prepared,TZE,rigid/vina,5,-4.037,7.125,7.935
6K28_prepared,TZE,rigid/vina,6,-3.933,3.392,4.231
6K28_prepared,TZE,rigid/vina,7,-3.933,7.103,7.767
6K28_prepared,TZE,rigid/vina,8,-3.915,8.756,9.352
6K28_prepared,TZE,rigid/vina,9,-3.891,2.621,3.316
